Delivery_Number,Item_Number,Material_Number,Delivered_Quantity,Net_Price,Delivery_Status,Customer_ID,Sales_Document,Sales_Item,Delivery_Date
1001001,10,MAT001,100,50,Delivered,CUST001,1000001,10,2025-02-10
1001001,20,MAT002,200,30,Delivered,CUST001,1000001,20,2025-02-10
1001002,10,MAT003,150,40,Delivered,CUST002,1000002,10,2025-02-11
1001003,10,MAT001,300,50,Delivered,CUST003,1000003,10,2025-02-12
1001004,10,MAT004,500,25,Delivered,CUST004,1000004,10,2025-02-13
1001005,10,MAT001,200,50,Delivered,CUST005,1000005,10,2025-02-14
1001006,10,MAT003,120,40,Delivered,CUST006,1000006,10,2025-02-15
1001007,10,MAT002,250,30,Delivered,CUST007,1000007,10,2025-02-16
1001008,10,MAT004,300,25,Delivered,CUST008,1000008,10,2025-02-17
1001009,10,MAT001,350,50,Delivered,CUST009,1000009,10,2025-02-18
1001010,10,MAT003,400,40,Delivered,CUST010,1000010,10,2025-02-19
1001011,10,MAT002,150,30,Delivered,CUST011,1000011,10,2025-02-20
1001012,10,MAT001,500,50,Delivered,CUST012,1000012,10,2025-02-21
1001013,10,MAT004,200,25,Delivered,CUST013,1000013,10,2025-02-22
1001014,10,MAT003,250,40,Delivered,CUST014,1000014,10,2025-02-23
1001015,10,MAT002,400,30,Delivered,CUST015,1000015,10,2025-02-24
1001016,10,MAT001,300,50,Delivered,CUST016,1000016,10,2025-02-25
1001017,10,MAT003,150,40,Delivered,CUST017,1000017,10,2025-02-26
1001018,10,MAT004,500,25,Delivered,CUST018,1000018,10,2025-02-27
1001019,10,MAT001,250,50,Delivered,CUST019,1000019,10,2025-02-28
1001020,10,MAT002,200,30,Delivered,CUST020,1000020,10,2025-03-01
