Sales_Document,Order_Date,Customer_ID,Order_Type,Sales_Organization,Distribution_Channel,Division,Order_Status,Item_Number,Material_Number,Quantity,Net_Price,Item_Status,Delivery_Date_x,Delivery_Number,Delivery_Date_y,Delivery_Status,Shipment_Number,Shipment_Date,Carrier,Shipment_Status,Customer_Name,Country,Region
1000001,2025-02-01,CUST001,OR,1000,10,1,Open,10,MAT001,100,50,Open,2025-02-08,1001001.0,2025-02-10,Open,2001001.0,2025-02-10,Carrier1,In Transit,Customer A,US,NY
1000001,2025-02-01,CUST001,OR,1000,10,1,Open,20,MAT002,200,30,Open,2025-02-08,1001001.0,2025-02-10,Open,2001001.0,2025-02-10,Carrier1,In Transit,Customer A,US,NY
1000002,2025-02-02,CUST002,OR,1000,20,1,Delivered,10,MAT003,150,40,Delivered,2025-02-09,1001002.0,2025-02-11,Delivered,2001002.0,2025-02-11,Carrier2,Delivered,Customer B,DE,BW
1000003,2025-02-05,CUST003,OR,1000,10,1,Open,10,MAT001,300,50,Open,2025-02-10,1001003.0,2025-02-12,Open,2001003.0,2025-02-12,Carrier1,In Transit,Customer C,UK,ENG
1000004,2025-02-06,CUST004,OR,1000,10,1,Closed,10,MAT004,500,25,Closed,2025-02-12,1001004.0,2025-02-13,Delivered,2001004.0,2025-02-13,Carrier3,Delivered,Customer D,FR,IDF
1000005,2025-02-07,CUST005,OR,1000,20,1,Open,10,MAT001,200,50,Open,2025-02-13,1001005.0,2025-02-14,Open,2001005.0,2025-02-14,Carrier1,In Transit,Customer E,IN,DL
1000006,2025-02-08,CUST006,OR,2000,10,2,Delivered,10,MAT003,120,40,Delivered,2025-02-14,1001006.0,2025-02-15,Delivered,2001006.0,2025-02-15,Carrier2,Delivered,Customer F,JP,13
1000007,2025-02-09,CUST007,OR,1000,30,3,Open,10,MAT002,250,30,Open,2025-02-15,1001007.0,2025-02-16,Open,2001007.0,2025-02-16,Carrier3,In Transit,Customer G,US,CA
1000008,2025-02-10,CUST008,OR,1000,10,1,Closed,10,MAT004,300,25,Delivered,2025-02-16,1001008.0,2025-02-17,Delivered,2001008.0,2025-02-17,Carrier1,Delivered,Customer H,CN,BJ
1000009,2025-02-11,CUST009,OR,1000,20,2,Open,10,MAT001,350,50,Open,2025-02-17,1001009.0,2025-02-18,Open,2001009.0,2025-02-18,Carrier2,In Transit,Customer I,IT,LAZ
1000010,2025-02-12,CUST010,OR,1000,10,1,Open,10,MAT003,400,40,Open,2025-02-18,1001010.0,2025-02-19,Delivered,2001010.0,2025-02-19,Carrier3,Delivered,Customer J,AU,NSW
1000011,2025-02-13,CUST011,OR,3000,10,2,Delivered,10,MAT002,150,30,Delivered,2025-02-19,1001011.0,2025-02-20,Open,2001011.0,2025-02-20,Carrier1,In Transit,Customer K,CA,ON
1000012,2025-02-14,CUST012,OR,2000,20,1,Closed,10,MAT001,500,50,Closed,2025-02-20,1001012.0,2025-02-21,Delivered,2001012.0,2025-02-21,Carrier2,Delivered,Customer L,ES,MAD
1000013,2025-02-15,CUST013,OR,1000,10,1,Open,10,MAT004,200,25,Open,2025-02-21,1001013.0,2025-02-22,Open,2001013.0,2025-02-22,Carrier3,In Transit,Customer M,NL,NH
1000014,2025-02-16,CUST014,OR,1000,10,1,Delivered,10,MAT003,250,40,Open,2025-02-22,1001014.0,2025-02-23,Delivered,2001014.0,2025-02-23,Carrier1,Delivered,Customer N,SE,AB
1000015,2025-02-17,CUST015,OR,1000,20,2,Open,10,MAT002,400,30,Delivered,2025-02-23,1001015.0,2025-02-24,Open,2001015.0,2025-02-24,Carrier2,In Transit,Customer O,BE,VLG
1000016,2025-02-18,CUST016,OR,1000,30,3,Closed,10,MAT001,300,50,Closed,2025-02-24,1001016.0,2025-02-25,Delivered,2001016.0,2025-02-25,Carrier3,Delivered,Customer P,AU,VIC
1000017,2025-02-19,CUST017,OR,1000,10,1,Delivered,10,MAT003,150,40,Delivered,2025-02-25,1001017.0,2025-02-26,Open,2001017.0,2025-02-26,Carrier1,In Transit,Customer Q,IN,MH
1000018,2025-02-20,CUST018,OR,1000,20,1,Open,10,MAT004,500,25,Open,2025-02-26,1001018.0,2025-02-27,Delivered,2001018.0,2025-02-27,Carrier2,Delivered,Customer R,ZA,GP
1000019,2025-02-21,CUST019,OR,1000,10,2,Closed,10,MAT001,250,50,Delivered,2025-02-27,1001019.0,2025-02-28,Open,2001019.0,2025-02-28,Carrier3,In Transit,Customer S,FR,PACA
1000020,2025-02-22,CUST020,OR,1000,20,1,Open,10,MAT002,200,30,Open,2025-02-28,1001020.0,2025-03-01,Delivered,2001020.0,2025-03-01,Carrier1,Delivered,Customer T,IT,TOS
1000021,2025-02-23,CUST021,OR,3000,10,1,Delivered,10,MAT003,180,40,Open,2025-03-01,,,,,,,,Customer U,US,TX
1000022,2025-02-24,CUST022,OR,2000,20,2,Open,10,MAT004,220,25,Open,2025-03-02,,,,,,,,Customer V,DE,HH
