Sales_Document,Item_Number,Material_Number,Quantity,Net_Price,Item_Status,Delivery_Date
1000001,10,MAT001,100,50,Open,2025-02-08
1000001,20,MAT002,200,30,Open,2025-02-08
1000002,10,MAT003,150,40,Delivered,2025-02-09
1000003,10,MAT001,300,50,Open,2025-02-10
1000004,10,MAT004,500,25,Closed,2025-02-12
1000005,10,MAT001,200,50,Open,2025-02-13
1000006,10,MAT003,120,40,Delivered,2025-02-14
1000007,10,MAT002,250,30,Open,2025-02-15
1000008,10,MAT004,300,25,Delivered,2025-02-16
1000009,10,MAT001,350,50,Open,2025-02-17
1000010,10,MAT003,400,40,Open,2025-02-18
1000011,10,MAT002,150,30,Delivered,2025-02-19
1000012,10,MAT001,500,50,Closed,2025-02-20
1000013,10,MAT004,200,25,Open,2025-02-21
1000014,10,MAT003,250,40,Open,2025-02-22
1000015,10,MAT002,400,30,Delivered,2025-02-23
1000016,10,MAT001,300,50,Closed,2025-02-24
1000017,10,MAT003,150,40,Delivered,2025-02-25
1000018,10,MAT004,500,25,Open,2025-02-26
1000019,10,MAT001,250,50,Delivered,2025-02-27
1000020,10,MAT002,200,30,Open,2025-02-28
1000021,10,MAT003,180,40,Open,2025-03-01
1000022,10,MAT004,220,25,Open,2025-03-02
