Sales_Document,Order_Date,Customer_ID,Order_Type,Sales_Organization,Distribution_Channel,Division,Order_Status
1000001,2025-02-01,CUST001,OR,1000,10,1,Open
1000002,2025-02-02,CUST002,OR,1000,20,1,Delivered
1000003,2025-02-05,CUST003,OR,1000,10,1,Open
1000004,2025-02-06,CUST004,OR,1000,10,1,Closed
1000005,2025-02-07,CUST005,OR,1000,20,1,Open
1000006,2025-02-08,CUST006,OR,2000,10,2,Delivered
1000007,2025-02-09,CUST007,OR,1000,30,3,Open
1000008,2025-02-10,CUST008,OR,1000,10,1,Closed
1000009,2025-02-11,CUST009,OR,1000,20,2,Open
1000010,2025-02-12,CUST010,OR,1000,10,1,Open
1000011,2025-02-13,CUST011,OR,3000,10,2,Delivered
1000012,2025-02-14,CUST012,OR,2000,20,1,Closed
1000013,2025-02-15,CUST013,OR,1000,10,1,Open
1000014,2025-02-16,CUST014,OR,1000,10,1,Delivered
1000015,2025-02-17,CUST015,OR,1000,20,2,Open
1000016,2025-02-18,CUST016,OR,1000,30,3,Closed
1000017,2025-02-19,CUST017,OR,1000,10,1,Delivered
1000018,2025-02-20,CUST018,OR,1000,20,1,Open
1000019,2025-02-21,CUST019,OR,1000,10,2,Closed
1000020,2025-02-22,CUST020,OR,1000,20,1,Open
1000021,2025-02-23,CUST021,OR,3000,10,1,Delivered
1000022,2025-02-24,CUST022,OR,2000,20,2,Open
