Shipment_Number,Item_Number,Material_Number,Shipped_Quantity,Item_Status,Delivery_Number,Customer_ID,Sales_Document,Sales_Item,Shipment_Date
2001001,10,MAT001,100,Delivered,1001001,CUST001,1000001,10,2025-02-10
2001001,20,MAT002,200,Delivered,1001001,CUST001,1000001,20,2025-02-10
2001002,10,MAT003,150,Delivered,1001002,CUST002,1000002,10,2025-02-11
2001003,10,MAT001,300,Delivered,1001003,CUST003,1000003,10,2025-02-12
2001004,10,MAT004,500,Delivered,1001004,CUST004,1000004,10,2025-02-13
2001005,10,MAT001,200,Delivered,1001005,CUST005,1000005,10,2025-02-14
2001006,10,MAT003,120,Delivered,1001006,CUST006,1000006,10,2025-02-15
2001007,10,MAT002,250,Delivered,1001007,CUST007,1000007,10,2025-02-16
2001008,10,MAT004,300,Delivered,1001008,CUST008,1000008,10,2025-02-17
2001009,10,MAT001,350,Delivered,1001009,CUST009,1000009,10,2025-02-18
2001010,10,MAT003,400,Delivered,1001010,CUST010,1000010,10,2025-02-19
2001011,10,MAT002,150,Delivered,1001011,CUST011,1000011,10,2025-02-20
2001012,10,MAT001,500,Delivered,1001012,CUST012,1000012,10,2025-02-21
2001013,10,MAT004,200,Delivered,1001013,CUST013,1000013,10,2025-02-22
2001014,10,MAT003,250,Delivered,1001014,CUST014,1000014,10,2025-02-23
2001015,10,MAT002,400,Delivered,1001015,CUST015,1000015,10,2025-02-24
2001016,10,MAT001,300,Delivered,1001016,CUST016,1000016,10,2025-02-25
2001017,10,MAT003,150,Delivered,1001017,CUST017,1000017,10,2025-02-26
2001018,10,MAT004,500,Delivered,1001018,CUST018,1000018,10,2025-02-27
2001019,10,MAT001,250,Delivered,1001019,CUST019,1000019,10,2025-02-28
2001020,10,MAT002,200,Delivered,1001020,CUST020,1000020,10,2025-03-01
