Shipment_Number,Shipment_Date,Sales_Document,Delivery_Number,Shipping_Point,Carrier,Shipment_Status,Route,Shipping_Type,Customer_ID
2001001,2025-02-10,1000001,1001001,SP001,Carrier1,In Transit,1,Standard,CUST001
2001002,2025-02-11,1000002,1001002,SP002,Carrier2,Delivered,2,Express,CUST002
2001003,2025-02-12,1000003,1001003,SP001,Carrier1,In Transit,3,Standard,CUST003
2001004,2025-02-13,1000004,1001004,SP003,Carrier3,Delivered,4,Express,CUST004
2001005,2025-02-14,1000005,1001005,SP001,Carrier1,In Transit,5,Standard,CUST005
2001006,2025-02-15,1000006,1001006,SP002,Carrier2,Delivered,6,Express,CUST006
2001007,2025-02-16,1000007,1001007,SP003,Carrier3,In Transit,7,Standard,CUST007
2001008,2025-02-17,1000008,1001008,SP001,Carrier1,Delivered,8,Express,CUST008
2001009,2025-02-18,1000009,1001009,SP002,Carrier2,In Transit,9,Standard,CUST009
2001010,2025-02-19,1000010,1001010,SP003,Carrier3,Delivered,10,Express,CUST010
2001011,2025-02-20,1000011,1001011,SP001,Carrier1,In Transit,11,Standard,CUST011
2001012,2025-02-21,1000012,1001012,SP002,Carrier2,Delivered,12,Express,CUST012
2001013,2025-02-22,1000013,1001013,SP003,Carrier3,In Transit,13,Standard,CUST013
2001014,2025-02-23,1000014,1001014,SP001,Carrier1,Delivered,14,Express,CUST014
2001015,2025-02-24,1000015,1001015,SP002,Carrier2,In Transit,15,Standard,CUST015
2001016,2025-02-25,1000016,1001016,SP003,Carrier3,Delivered,16,Express,CUST016
2001017,2025-02-26,1000017,1001017,SP001,Carrier1,In Transit,17,Standard,CUST017
2001018,2025-02-27,1000018,1001018,SP002,Carrier2,Delivered,18,Express,CUST018
2001019,2025-02-28,1000019,1001019,SP003,Carrier3,In Transit,19,Standard,CUST019
2001020,2025-03-01,1000020,1001020,SP001,Carrier1,Delivered,20,Express,CUST020
